legislator,party
"ADAMS, Alma",DEM
"ADERHOLT, Robert",REP
"AGUILAR, Peter Rey",DEM
"ALLEN, Rick W.",REP
"ALLRED, Colin",DEM
"AMODEI, Mark E.",REP
"ARMSTRONG, Kelly",REP
"ARRINGTON, Jodey Cook",REP
"AUCHINCLOSS, Jake",DEM
"AXNE, Cynthia",DEM
"BABIN, Brian",REP
"BACON, Donald J.",REP
"BAIRD, James",REP
"BALDERSON, Troy",REP
"BANKS, James E.",REP
"BARR, Garland H. (Andy) IV",REP
"BARRAGÁN, Nanette Diaz",DEM
"BASS, Karen",DEM
"BEATTY, Joyce",DEM
"BENTZ, Cliff",REP
"BERA, Ami",DEM
"BERGMAN, John",REP
"BEYER, Donald Sternoff Jr.",DEM
"BICE, Stephanie I.",REP
"BIDEN, Joseph Robinette, Jr.",DEM
"BIGGS, Andrew S.",REP
"BILIRAKIS, Gus",REP
"BISHOP, Dan",REP
"BISHOP, Sanford Dixon, Jr.",DEM
"BLUMENAUER, Earl",DEM
"BLUNT ROCHESTER, Lisa",DEM
"BOEBERT, Lauren",REP
"BONAMICI, Suzanne",DEM
"BOST, Mike",REP
"BOURDEAUX, Carolyn",DEM
"BOWMAN, Jamaal",DEM
"BOYLE, Brendan Francis",DEM
"BRADY, Kevin Patrick",REP
"BROOKS, Mo",REP
"BROWN, Anthony Gregory",DEM
"BROWN, Shontel  M.",DEM
"BROWNLEY, Julia",DEM
"BUCHANAN, Vernon G.",REP
"BUCK, Kenneth Robert",REP
"BUCSHON, Larry",REP
"BUDD, Theodore Paul",REP
"BURCHETT, Timothy",REP
"BURGESS, Michael C.",REP
"BUSH, Cori",DEM
"BUSTOS, Cheri",DEM
"BUTTERFIELD, George Kenneth, Jr. (G.K.)",DEM
"CALVERT, Ken",REP
"CAMMACK, Kat",REP
"CARBAJAL, Salud",DEM
"CAREY, Mike",REP
"CARL, Jerry L.",REP
"CARSON, André",DEM
"CARTER, Buddy",REP
"CARTER, John R.",REP
"CARTER, Troy",DEM
"CARTWRIGHT, Matt",DEM
"CASE, Ed",DEM
"CASTEN, Sean",DEM
"CASTOR, Kathy",DEM
"CASTRO, Joaquin",DEM
"CAWTHORN, Madison",REP
"CHABOT, Steve",REP
"CHENEY, Liz",REP
"CHERFILUS-MCCORMICK, Sheila",DEM
"CHU, Judy",DEM
"CICILLINE, David N.",DEM
"CLARK, Katherine M.",DEM
"CLARKE, Yvette Diane",DEM
"CLEAVER, Emanuel, II",DEM
"CLINE, Benjamin",REP
"CLOUD, Michael",REP
"CLYBURN, James Enos",DEM
"CLYDE, Andrew S.",REP
"COHEN, Stephen",DEM
"COLE, Tom",REP
"COMER, James",REP
"CONNOLLY, Gerald E. (Gerry)",DEM
"CONWAY, Connie",REP
"COOPER, James Hayes Shofner",DEM
"CORREA, Jose Luis",DEM
"COSTA, Jim",DEM
"COURTNEY, Joe",DEM
"CRAIG, Angela",DEM
"CRAWFORD, Rick",REP
"CRENSHAW, Daniel",REP
"CRIST, Charlie Joseph Jr.",DEM
"CROW, Jason",DEM
"CUELLAR, Henry",DEM
"CURTIS, John R.",REP
"CÁRDENAS, Tony",DEM
"DAVIDS, Sharice",DEM
"DAVIDSON, Warren",REP
"DAVIS, Danny K.",DEM
"DAVIS, Rodney",REP
"DEAN, Madeleine",DEM
"DELGADO, Antonio",DEM
"DEMINGS, Valdez Butler",DEM
"DESAULNIER, Mark James",DEM
"DESJARLAIS, Scott",REP
"DEUTCH, Theodore E. (Ted)",DEM
"DIAZ-BALART, Mario",REP
"DINGELL, Debbie",DEM
"DOGGETT, Lloyd Alton, II",DEM
"DONALDS, Byron",REP
"DOYLE, Michael F.",DEM
"DUNCAN, Jeff",REP
"DUNN, Neal Patrick",REP
"DeFAZIO, Peter Anthony",DEM
"DeGETTE, Diana",DEM
"DeLAURO, Rosa L.",DEM
"DelBENE, Suzan K.",DEM
"ELLZEY, Jake",REP
"EMMER, Thomas Earl II",REP
"ESCOBAR, Veronica",DEM
"ESHOO, Anna Georges",DEM
"ESPAILLAT, Adriano J.",DEM
"ESTES, Ron",REP
"EVANS, Dwight",DEM
"FALLON, Pat",REP
"FEENSTRA, Randy",REP
"FERGUSON, Anderson Drew IV",REP
"FINSTAD, Brad",REP
"FISCHBACH, Michelle",REP
"FITZGERALD, Scott",REP
"FITZPATRICK, Brian K.",REP
"FLEISCHMANN, Chuck",REP
"FLETCHER, Elizabeth",DEM
"FLOOD, Mike",REP
"FLORES, Mayra",REP
"FORTENBERRY, Jeff",REP
"FOSTER, Bill",DEM
"FOXX, Virginia Ann",REP
"FRANKEL, Lois",DEM
"FRANKLIN, C. Scott",REP
"FUDGE, Marcia L.",DEM
"FULCHER, Russell",REP
"GAETZ, Matthew L. II",REP
"GALLAGHER, Michael",REP
"GALLEGO, Ruben",DEM
"GARAMENDI, John",DEM
"GARBARINO, Andrew R.",REP
"GARCIA, Mike",REP
"GARCIA, Sylvia",DEM
"GARCÍA, Jesús",DEM
"GIBBS, Bob",REP
"GIMENEZ, Carlos A.",REP
"GOHMERT, Louie",REP
"GOLDEN, Jared",DEM
"GOMEZ, Jimmy",DEM
"GONZALES, Tony",REP
"GONZALEZ, Anthony",REP
"GONZALEZ, Vicente Jr.",DEM
"GONZÁLEZ-CÓLON, Jenniffer",REP
"GOOD, Bob",REP
"GOODEN, Lance",REP
"GOSAR, Paul",REP
"GOTTHEIMER, Josh S.",DEM
"GRANGER, Kay",REP
"GRAVES, Garret",REP
"GRAVES, Samuel",REP
"GREEN, Al",DEM
"GREEN, Mark",REP
"GREENE, Marjorie Taylor",REP
"GRIFFITH, H. Morgan",REP
"GRIJALVA, Raúl M.",DEM
"GROTHMAN, Glenn",REP
"GUEST, Michael",REP
"GUTHRIE, Brett",REP
"HAALAND, Debra",DEM
"HAGEDORN, Jim",REP
"HARDER, Josh",DEM
"HARRIS, Andy",REP
"HARSHBARGER, Diana",REP
"HARTZLER, Vicky",REP
"HASTINGS, Alcee Lamar",DEM
"HAYES, Jahana",DEM
"HERN, Kevin",REP
"HERRELL, Yvette",REP
"HERRERA BEUTLER, Jaime",REP
"HICE, Jody Brownlow",REP
"HIGGINS, Brian",DEM
"HIGGINS, Clay",REP
"HILL, French",REP
"HIMES, James A.",DEM
"HINSON, Ashley",REP
"HOLLINGSWORTH, Joseph Albert III",REP
"HORSFORD, Steven",DEM
"HOULAHAN, Christina",DEM
"HOYER, Steny Hamilton",DEM
"HUDSON, Richard",REP
"HUFFMAN, Jared",DEM
"HUIZENGA, Bill",REP
"ISSA, Darrell",REP
"JACKSON LEE, Sheila",DEM
"JACKSON, Ronny",REP
"JACOBS, Chris",REP
"JACOBS, Sara",DEM
"JAYAPAL, Pramila",DEM
"JEFFRIES, Hakeem",DEM
"JOHNSON, Bill",REP
"JOHNSON, Dustin",REP
"JOHNSON, Eddie Bernice",DEM
"JOHNSON, Hank",DEM
"JOHNSON, Mike",REP
"JONES, Mondaire",DEM
"JORDAN, Jim",REP
"JOYCE, David",REP
"JOYCE, John",REP
"KAHELE, Kaialiʻi",DEM
"KAPTUR, Marcia Carolyn (Marcy)",DEM
"KATKO, John",REP
"KEATING, William R.",DEM
"KELLER, Fred",REP
"KELLY, Mike",REP
"KELLY, Robin L.",DEM
"KELLY, Trent",REP
"KHANNA, Rohit",DEM
"KILDEE, Dan",DEM
"KILMER, Derek",DEM
"KIM, Andy",DEM
"KIM, Young",REP
"KIND, Ron",DEM
"KINZINGER, Adam",REP
"KIRKPATRICK, Ann",DEM
"KRISHNAMOORTHI, S. Raja",DEM
"KUSTER, Ann McLane",DEM
"KUSTOFF, David",REP
"LAMB, Conor",DEM
"LAMBORN, Doug",REP
"LANGEVIN, James",DEM
"LARSEN, Richard Ray (Rick)",DEM
"LARSON, John B.",DEM
"LATTA, Robert E.",REP
"LATURNER, Jake",REP
"LAWRENCE, Brenda L",DEM
"LAWSON, Alfred Jr.",DEM
"LEE, Barbara",DEM
"LEE, Susie",DEM
"LEGER FERNANDEZ, Teresa",DEM
"LESKO, Debbie",REP
"LETLOW, Julia",REP
"LEVIN, Andy",DEM
"LEVIN, Mike",DEM
"LIEU, Ted",DEM
"LOFGREN, Zoe",DEM
"LONG, Billy",REP
"LOUDERMILK, Barry D.",REP
"LOWENTHAL, Alan",DEM
"LUCAS, Frank D.",REP
"LUETKEMEYER, Blaine",REP
"LURIA, Elaine",DEM
"LYNCH, Stephen F.",DEM
"LaHOOD, Darin",REP
"LaMALFA, Doug",REP
"MACE, Nancy",REP
"MALINOWSKI, Tomaz",DEM
"MALLIOTAKIS, Nicole",REP
"MALONEY, Carolyn Bosher",DEM
"MALONEY, Sean Patrick",DEM
"MANN, Tracey",REP
"MANNING, Kathy E.",DEM
"MASSIE, Thomas",REP
"MAST, Brian Jeffery",REP
"MATSUI, Doris",DEM
"MCCARTHY, Kevin",REP
"MCCLAIN, Lisa C.",REP
"MCEACHIN, Aston Donald",DEM
"MEEKS, Gregory W.",DEM
"MEIJER, Peter",REP
"MENG, Grace",DEM
"MEUSER, Dan",REP
"MFUME, Kweisi",DEM
"MILLER, Carol",REP
"MILLER, Mary E.",REP
"MILLER-MEEKS, Mariannette",REP
"MOOLENAAR, John",REP
"MOONEY, Alex X.",REP
"MOORE, Barry",REP
"MOORE, Blake D.",REP
"MOORE, Gwendolynne S. (Gwen)",DEM
"MORELLE, Joseph D.",DEM
"MOULTON, Seth",DEM
"MRVAN, Frank J.",DEM
"MULLIN, Markwayne",REP
"MURPHY, Gregory Francis",REP
"MURPHY, Stephanie",DEM
"McBATH, Lucy",DEM
"McCAUL, Michael T.",REP
"McCLINTOCK, Tom",REP
"McCOLLUM, Betty",DEM
"McGOVERN, James P.",DEM
"McHENRY, Patrick T.",REP
"McKINLEY, David",REP
"McMORRIS RODGERS, Cathy",REP
"McNERNEY, Jerry",DEM
"NADLER, Jerrold Lewis",DEM
"NAPOLITANO, Grace Flores",DEM
"NEAL, Richard Edmund",DEM
"NEGUSE, Joseph",DEM
"NEHLS, Troy E.",REP
"NEWHOUSE, Daniel Milton",REP
"NEWMAN, Marie",DEM
"NORCROSS, Donald",DEM
"NORMAN, Ralph",REP
"NORTON, Eleanor Holmes",DEM
"NUNES, Devin",REP
"O'HALLERAN, Thomas C.",DEM
"OBERNOLTE, Jay",REP
"OCASIO-CORTEZ, Alexandria",DEM
"OMAR, Ilhan",DEM
"OWENS, Burgess",REP
"PALAZZO, Steven",REP
"PALLONE, Frank, Jr.",DEM
"PALMER, Gary James",REP
"PANETTA, James Varni",DEM
"PAPPAS, Chris",DEM
"PASCRELL, William J., Jr.",DEM
"PAYNE, Donald, Jr.",DEM
"PELOSI, Nancy",DEM
"PELTOLA, Mary Sattler",DEM
"PENCE, Gregory",REP
"PERLMUTTER, Ed",DEM
"PERRY, Scott",REP
"PETERS, Scott",DEM
"PFLUGER, August",REP
"PHILLIPS, Dean",DEM
"PINGREE, Chellie",DEM
"PLASKETT, Stacey E.",DEM
"POCAN, Mark",DEM
"PORTER, Katie",DEM
"POSEY, Bill",REP
"PRESSLEY, Ayanna",DEM
"PRICE, David Eugene",DEM
"QUIGLEY, Mike",DEM
"RADEWAGEN, Aumua Amata Coleman",REP
"RASKIN, Jamie Ben",DEM
"REED, Thomas W. II",REP
"RESCHENTHALER, Guy",REP
"RICE, Kathleen Maura",DEM
"RICE, Tom",REP
"RICHMOND, Cedric",DEM
"ROGERS, Harold Dallas (Hal)",REP
"ROGERS, Mike Dennis",REP
"ROSE, John",REP
"ROSENDALE, Matthew M., Sr.",REP
"ROSS, Deborah K.",DEM
"ROUZER, David",REP
"ROY, Charles",REP
"ROYBAL-ALLARD, Lucille",DEM
"RUIZ, Raul",DEM
"RUPPERSBERGER, C. A. (Dutch)",DEM
"RUSH, Bobby L.",DEM
"RUTHERFORD, John Henry",REP
"RYAN, Patrick",DEM
"RYAN, Timothy J.",DEM
"SABLAN, Gregorio Kilili Camacho",DEM
"SALAZAR, Maria Elvira",REP
"SAN NICOLAS, Michael",DEM
"SARBANES, John",DEM
"SCALISE, Steve",REP
"SCANLON, Mary Gay",DEM
"SCHAKOWSKY, Janice D.",DEM
"SCHIFF, Adam",DEM
"SCHNEIDER, Brad",DEM
"SCHRADER, Kurt",DEM
"SCHRIER, Kim",DEM
"SCHWEIKERT, David",REP
"SCOTT, Austin",REP
"SCOTT, David",DEM
"SCOTT, Robert C.",DEM
"SEMPOLINSKI, Joseph",REP
"SESSIONS, Pete",REP
"SEWELL, Terri",DEM
"SHERMAN, Brad",DEM
"SHERRILL, Mikie",DEM
"SIMPSON, Michael K.",REP
"SIRES, Albio",DEM
"SLOTKIN, Elissa",DEM
"SMITH, Adam",DEM
"SMITH, Adrian",REP
"SMITH, Christopher Henry",REP
"SMITH, Jason",REP
"SMUCKER, Lloyd K.",REP
"SOTO, Darren Michael",DEM
"SPANBERGER, Abigail",DEM
"SPARTZ, Victoria",REP
"SPEIER, Karen Lorraine Jacqueline (Jackie)",DEM
"STANSBURY, Melanie Ann",DEM
"STANTON, Greg",DEM
"STAUBER, Peter",REP
"STEEL, Michelle",REP
"STEFANIK, Elise M",REP
"STEIL, Bryan",REP
"STEUBE, William",REP
"STEVENS, Haley",DEM
"STEWART, Chris",REP
"STIVERS, Steve",REP
"STRICKLAND, Marilyn",DEM
"SUOZZI, Thomas",DEM
"SWALWELL, Eric",DEM
"SÁNCHEZ, Linda T.",DEM
"TAKANO, Mark",DEM
"TAYLOR, Nicholas",REP
"TENNEY, Claudia",REP
"THOMPSON, Bennie",DEM
"THOMPSON, Glenn",REP
"THOMPSON, Michael",DEM
"TIFFANY, Thomas P.",REP
"TIMMONS, William",REP
"TITUS, Alice (Dina)",DEM
"TLAIB, Rashida",DEM
"TONKO, Paul",DEM
"TORRES, Norma Judith",DEM
"TORRES, Ritchie",DEM
"TRAHAN, Lori",DEM
"TRONE, David",DEM
"TRUMP, Donald John",REP
"TURNER, Michael R.",REP
"UNDERWOOD, Lauren",DEM
"UPTON, Frederick Stephen",REP
"VALADAO, David G.",REP
"VAN DREW, Jefferson",REP
"VAN DUYNE, Beth",REP
"VARGAS, Juan",DEM
"VEASEY, Marc",DEM
"VELA, Filemon",DEM
"VELÁZQUEZ, Nydia M.",DEM
"WAGNER, Ann",REP
"WALBERG, Tim",REP
"WALORSKI, Jackie",REP
"WALTZ, Michael",REP
"WASSERMAN SCHULTZ, Debbie",DEM
"WATERS, Maxine",DEM
"WATSON COLEMAN, Bonnie",DEM
"WEBER, Randy",REP
"WEBSTER, Daniel A.",REP
"WELCH, Peter",DEM
"WENSTRUP, Brad",REP
"WESTERMAN, Bruce Eugene",REP
"WEXTON, Jennifer",DEM
"WILD, Susan",DEM
"WILLIAMS, Nikema",DEM
"WILLIAMS, Roger",REP
"WILSON, Addison Graves (Joe)",REP
"WILSON, Frederica",DEM
"WITTMAN, Robert J.",REP
"WOMACK, Steve",REP
"WRIGHT, Ron",REP
"YAKYM, Rudy, III",REP
"YARMUTH, John",DEM
"YOUNG, Donald Edwin",REP
"ZELDIN, Lee M",REP
